Q101_1;Q101_2;Q101_3;Q101_4;Q101_5;Q102_1;Q102_2;Q102_3;Q102_4;Q102_5;accessibility_indicator
2;2;2;4;4;4;2;2;4;4;0.40 - 0.48
4;5;4;5;4;4;2;3;2;1;0.32 - 0.40
1;;2;2;2;4;3;4;4;4;0.25 - 0.32
1;1;1;1;4;5;3;5;5;2;0.17 - 0.25
1;1;1;1;1;5;5;5;5;5;0.17 - 0.25
1;2;2;4;4;2;1;2;4;3;0.40 - 0.48
2;3;4;5;3;5;3;3;2;2;0.32 - 0.40
1;1;1;1;1;4;4;4;4;5;0.17 - 0.25
1;2;1;1;1;5;4;5;5;5;0.10 - 0.17
1;1;1;1;1;5;5;5;5;5;0 - 0.10
5;5;4;4;3;2;1;1;4;3;0.32 - 0.40
3;5;5;5;5;5;5;5;3;3;0.10 - 0.17
5;5;5;5;5;3;2;1;3;3;0.32 - 0.40
2;5;4;5;5;5;2;3;4;4;0.40 - 0.48
5;5;5;5;4;2;2;2;2;3;0.32 - 0.40
4;4;3;4;2;4;3;3;4;4;0.17 - 0.25
1;1;1;1;2;5;5;5;5;5;0.32 - 0.40
4;4;5;4;3;4;3;3;3;3;0.32 - 0.40
1;1;1;1;1;5;3;5;5;5;0.17 - 0.25
1;2;2;2;4;5;4;4;3;2;0.10 - 0.17
2;3;3;4;2;4;3;4;3;3;0.40 - 0.48
1;3;5;5;5;5;5;4;4;3;0.25 - 0.32
1;2;2;2;1;4;4;4;4;4;0 - 0.10
2;2;3;4;4;5;5;4;5;3;0.10 - 0.17
1;1;1;3;3;5;5;4;3;3;0.10 - 0.17
1;2;2;4;1;5;4;4;4;5;0.10 - 0.17
2;2;2;4;3;5;5;5;5;5;0.17 - 0.25
1;1;1;1;1;4;3;4;4;5;0.25 - 0.32
2;2;2;2;1;5;5;5;5;5;0.10 - 0.17
1;3;3;4;4;5;3;4;3;3;0.25 - 0.32
2;4;5;5;4;5;2;3;2;4;0.32 - 0.40
3;5;5;4;5;4;2;2;2;1;0.32 - 0.40
1;1;1;1;1;5;5;5;5;5;0.25 - 0.32
2;2;2;2;2;2;1;2;2;2;0.10 - 0.17
2;2;2;2;2;4;3;2;3;3;0.25 - 0.32
2;2;2;2;2;4;4;4;4;4;0.17 - 0.25
2;1;1;1;1;2;2;1;2;1;0.17 - 0.25
1;1;4;3;1;5;5;3;3;3;0.32 - 0.40
2;1;3;3;3;3;1;2;3;3;0.40 - 0.48
2;3;3;2;2;4;4;4;4;4;0.32 - 0.40
1;1;3;4;5;5;4;5;2;2;0.17 - 0.25
1;4;2;4;4;3;3;3;3;3;0.25 - 0.32
4;4;4;4;4;5;3;3;3;4;0.25 - 0.32
2;2;2;4;4;4;2;2;2;3;0.32 - 0.40
2;4;4;5;2;4;2;2;2;2;0.25 - 0.32
1;1;1;1;1;5;5;1;4;1;0.25 - 0.32
2;3;4;2;2;5;3;3;4;2;0.17 - 0.25
2;2;4;4;3;4;1;2;2;3;0.17 - 0.25
4;5;5;5;4;5;5;5;5;5;0.40 - 0.48
1;4;4;3;3;4;1;3;3;3;0.32 - 0.40
1;1;1;1;1;4;4;3;3;2;0.17 - 0.25
2;1;1;2;2;5;5;4;4;4;0 - 0.10
1;1;1;1;1;4;4;4;3;3;0 - 0.10
1;1;1;1;1;5;4;4;5;5;0 - 0.10
2;2;4;4;2;5;1;1;3;4;0.32 - 0.40
1;3;3;2;2;4;2;4;2;2;0.32 - 0.40
1;4;4;3;2;5;3;4;4;4;0.17 - 0.25
1;1;1;1;1;5;4;4;4;5;0.25 - 0.32
1;1;3;3;1;4;4;2;4;4;0.32 - 0.40
4;4;4;4;4;4;2;2;2;1;0.25 - 0.32
1;3;3;2;3;5;3;5;3;3;0.40 - 0.48
3;5;4;4;3;3;2;2;3;3;0.25 - 0.32
5;5;5;5;5;1;1;1;3;3;0.32 - 0.40
3;3;3;3;3;5;5;5;5;5;0.25 - 0.32
3;1;3;4;2;5;5;5;5;5;0.17 - 0.25
1;2;2;2;2;5;4;4;4;4;0.32 - 0.40
3;5;5;5;4;3;1;1;1;1;0.32 - 0.40
3;3;3;4;3;3;3;3;3;3;0.32 - 0.40
2;2;3;3;2;5;4;5;5;5;0.17 - 0.25
2;1;1;2;2;5;4;4;5;5;0.17 - 0.25
3;4;4;1;1;4;4;4;4;4;0.25 - 0.32
3;3;3;3;3;5;5;5;5;5;0.40 - 0.48
1;1;5;4;4;5;5;5;5;5;0.40 - 0.48
3;4;5;5;5;5;2;5;5;5;0.40 - 0.48
3;3;4;3;2;4;4;4;4;4;0.25 - 0.32
3;4;4;4;4;2;2;2;2;3;0.40 - 0.48
4;1;4;4;3;1;1;1;1;1;0.32 - 0.40
3;3;2;5;4;4;4;5;5;2;0.32 - 0.40
1;1;1;1;1;5;5;5;5;5;0.10 - 0.17
1;2;5;5;3;5;3;2;2;3;0.40 - 0.48
2;4;3;5;4;4;3;5;3;2;0.40 - 0.48
1;4;2;3;3;5;4;4;3;2;0.32 - 0.40
1;4;2;1;3;5;4;5;5;5;0 - 0.10
2;2;3;4;3;2;1;3;3;4;0.17 - 0.25
1;1;1;1;1;5;5;5;5;5;0.17 - 0.25
1;1;5;5;3;5;5;3;5;5;0.40 - 0.48
1;1;1;1;1;5;3;5;5;5;0.17 - 0.25
4;4;5;5;5;4;1;2;4;2;0.17 - 0.25
4;3;3;4;4;5;3;4;5;2;0.25 - 0.32
2;2;3;2;3;5;5;5;5;5;0.32 - 0.40
1;1;2;1;1;5;5;4;5;5;0 - 0.10
1;3;1;4;2;5;2;4;3;4;0.25 - 0.32
5;4;4;5;4;1;1;1;3;4;0.32 - 0.40
1;1;1;3;2;5;5;4;4;5;0.25 - 0.32
4;4;4;4;1;4;;3;3;4;0.25 - 0.32
4;4;4;4;3;4;4;3;3;1;0.25 - 0.32
3;2;3;2;2;4;4;5;5;5;0.10 - 0.17
1;1;1;1;1;5;1;5;5;5;0.25 - 0.32
1;1;1;1;1;5;5;5;5;5;0.10 - 0.17
4;3;4;2;3;5;3;5;5;4;0.32 - 0.40
2;2;3;3;3;5;5;4;2;2;0.10 - 0.17
4;2;2;3;2;4;2;2;3;3;0.25 - 0.32
4;5;5;5;5;4;2;2;4;2;0.32 - 0.40
2;2;2;2;2;4;3;4;5;5;0.32 - 0.40
1;1;4;4;4;2;2;1;4;4;0.40 - 0.48
1;2;3;3;4;5;4;3;3;2;0.32 - 0.40
4;3;4;4;5;5;2;4;3;1;0.25 - 0.32
1;1;1;1;1;5;4;5;5;5;0.32 - 0.40
1;1;3;3;3;5;5;5;5;5;0.25 - 0.32
1;4;1;1;1;5;3;5;5;3;0.17 - 0.25
2;4;2;4;2;2;4;2;4;2;0.25 - 0.32
1;3;4;3;2;5;3;2;3;4;0.32 - 0.40
4;3;3;3;2;5;5;5;5;5;0 - 0.10
3;3;3;3;3;4;4;4;4;3;0.32 - 0.40
4;4;4;4;4;5;2;4;4;4;0.32 - 0.40
1;3;3;3;3;4;4;4;4;4;0.17 - 0.25
1;1;2;3;2;5;5;5;5;5;0 - 0.10
2;1;3;2;2;5;3;3;4;4;0.32 - 0.40
2;4;4;2;1;4;3;4;4;4;0.25 - 0.32
1;1;1;1;1;5;5;5;5;5;0 - 0.10
1;1;1;1;1;4;4;4;4;4;0.25 - 0.32
1;1;5;5;5;1;1;1;1;4;0.10 - 0.17
4;3;4;4;3;5;2;2;4;3;0.17 - 0.25
1;2;2;2;2;5;5;5;5;4;0.17 - 0.25
2;3;3;4;2;5;4;4;4;5;0 - 0.10
2;2;2;2;2;5;4;4;3;5;0.17 - 0.25
1;1;2;2;1;2;1;3;3;2;0.32 - 0.40
4;4;4;3;4;4;4;4;4;4;0.10 - 0.17
1;1;1;3;3;4;3;4;4;4;0 - 0.10
3;3;3;3;3;5;5;5;5;5;0.32 - 0.40
1;1;1;1;1;5;4;4;5;5;0 - 0.10
3;4;4;4;3;4;4;4;4;3;0.32 - 0.40
1;2;4;4;2;5;4;2;4;4;0.10 - 0.17
3;3;3;3;2;5;5;5;5;5;0 - 0.10
4;4;4;4;4;3;3;3;3;3;0.40 - 0.48
2;3;4;4;4;5;5;5;5;2;0.32 - 0.40
4;4;4;4;1;5;5;5;5;5;0.25 - 0.32
1;1;1;4;4;5;5;4;4;4;0 - 0.10
3;5;5;4;4;4;2;2;2;2;0.25 - 0.32
1;1;3;2;4;4;4;4;4;4;0.25 - 0.32
1;1;4;4;3;4;1;1;3;1;0.32 - 0.40
2;3;2;2;1;5;2;4;4;5;0.10 - 0.17
3;5;2;5;3;5;1;2;1;1;0.17 - 0.25
1;1;3;4;5;5;5;5;5;3;0 - 0.10
2;2;4;4;2;4;4;3;4;2;0.32 - 0.40
1;2;2;3;1;5;4;3;3;5;0.32 - 0.40
1;1;1;1;1;5;5;5;5;5;0.10 - 0.17
3;2;1;2;3;4;3;3;4;3;0.40 - 0.48
1;1;1;1;1;5;5;5;5;5;0.40 - 0.48
5;4;5;4;4;5;4;5;4;4;0.32 - 0.40
3;4;4;1;1;5;5;5;5;5;0.10 - 0.17
2;3;3;3;3;5;2;3;4;3;0.32 - 0.40
1;3;1;1;1;5;4;4;4;4;0.10 - 0.17
5;4;4;4;4;4;2;2;2;2;0.32 - 0.40
1;1;5;1;1;5;1;3;5;5;0.32 - 0.40
3;3;4;5;5;1;1;1;1;1;0.25 - 0.32
2;2;2;2;2;3;3;4;4;4;0.25 - 0.32
2;3;3;4;4;5;4;4;3;2;0.17 - 0.25
1;5;5;5;2;5;2;3;3;3;0.32 - 0.40
3;2;3;2;1;5;5;5;5;5;0 - 0.10
1;1;1;1;1;5;5;5;5;5;0.25 - 0.32
1;1;1;1;1;5;5;5;5;5;0 - 0.10
3;3;4;4;4;4;4;3;4;4;0.32 - 0.40
3;3;3;3;3;5;2;4;4;4;0.40 - 0.48
1;5;5;4;4;5;4;2;4;1;0.10 - 0.17
3;3;3;3;3;3;3;3;3;3;0.40 - 0.48
2;;4;4;4;5;1;4;4;4;0.10 - 0.17
3;3;;;;3;;;;;0.32 - 0.40
1;5;2;2;2;5;4;5;4;4;0 - 0.10
1;4;4;4;5;5;3;4;4;3;0.32 - 0.40
4;4;2;2;1;4;3;4;5;5;0.17 - 0.25
1;3;1;1;1;5;5;5;5;5;0 - 0.10
2;3;4;3;2;5;2;3;4;5;0.32 - 0.40
3;3;4;3;;;;;;;0.40 - 0.48
5;5;5;5;5;5;5;5;5;5;0.32 - 0.40
2;3;4;4;5;1;1;5;5;5;0.17 - 0.25
1;1;1;1;1;5;5;5;5;5;0.25 - 0.32
2;5;5;5;5;5;3;2;3;3;0.17 - 0.25
1;5;5;5;3;3;3;3;3;3;0.32 - 0.40
1;2;5;5;1;5;1;1;4;5;0.40 - 0.48
3;3;3;4;4;4;4;3;3;2;0.32 - 0.40
1;1;1;3;3;4;4;4;5;5;0.32 - 0.40
;4;;;;;4;;;;0.32 - 0.40
4;4;4;4;2;5;5;5;5;5;0.10 - 0.17
3;3;3;3;3;4;2;4;4;4;0.17 - 0.25
2;5;4;2;4;5;2;4;5;2;0.25 - 0.32
2;4;5;3;2;4;3;3;4;3;0.32 - 0.40
4;4;5;5;4;5;5;5;5;5;0.17 - 0.25
2;2;1;1;1;5;5;5;5;4;0.17 - 0.25
1;1;1;1;1;5;5;5;5;5;0.25 - 0.32
3;3;4;4;4;5;3;3;2;4;0.40 - 0.48
1;1;1;2;1;5;5;5;5;5;0 - 0.10
5;4;5;5;4;5;3;3;4;3;0.32 - 0.40
1;1;1;1;1;5;5;5;5;5;0 - 0.10
2;4;5;5;5;4;1;1;4;2;0.40 - 0.48
1;4;4;4;4;1;1;2;2;1;0.32 - 0.40
4;5;4;4;4;4;1;1;3;4;0.32 - 0.40
1;1;1;4;4;5;5;5;3;2;0.25 - 0.32
2;5;4;4;2;5;5;5;5;5;0.32 - 0.40
3;1;3;3;3;4;3;3;3;4;0.32 - 0.40
1;5;5;2;1;5;5;5;5;5;0.25 - 0.32
2;2;4;4;4;2;1;2;2;2;0.32 - 0.40
5;5;4;4;4;4;2;5;4;3;0.32 - 0.40
1;1;1;1;1;5;5;5;5;4;0.10 - 0.17
3;4;5;5;4;5;3;2;4;3;0.40 - 0.48
1;3;5;5;4;3;1;1;3;1;0.32 - 0.40
5;5;3;5;3;5;5;5;5;3;0.32 - 0.40
4;3;2;2;2;5;5;5;5;;0.32 - 0.40
2;3;4;4;4;5;4;4;4;3;0.40 - 0.48
1;1;1;1;1;5;5;5;5;5;0 - 0.10
4;4;4;4;4;3;2;3;3;3;0.40 - 0.48
4;4;5;5;5;3;2;2;1;1;0.40 - 0.48
5;3;3;3;3;5;5;5;5;5;0.17 - 0.25
3;3;5;5;5;1;1;1;2;1;0.40 - 0.48
4;2;3;4;1;5;4;3;4;1;0.32 - 0.40
3;1;3;3;2;3;3;3;3;3;0.32 - 0.40
2;4;5;5;5;5;1;4;4;1;0.25 - 0.32
2;2;2;2;2;2;2;2;2;2;0 - 0.10
1;1;5;5;5;5;5;5;5;2;0 - 0.10
2;4;4;3;3;5;3;3;4;4;0.17 - 0.25
1;1;1;1;1;5;5;5;5;5;0.32 - 0.40
3;3;3;2;1;5;3;3;3;5;0.25 - 0.32
2;4;4;4;2;5;5;5;5;5;0.17 - 0.25
2;3;4;5;4;5;3;2;3;4;0.32 - 0.40
4;3;4;3;3;5;3;4;4;4;0.32 - 0.40
2;2;2;3;2;5;5;4;4;4;0.25 - 0.32
1;1;1;1;1;5;5;5;5;5;0.25 - 0.32
1;1;1;1;1;5;5;5;5;5;0.10 - 0.17
3;3;3;3;;4;4;4;4;4;0.25 - 0.32
2;2;3;2;3;4;3;4;4;3;0.32 - 0.40
2;2;2;4;2;5;2;2;2;2;0.32 - 0.40
1;1;1;1;1;5;5;5;5;5;0.25 - 0.32
1;2;1;4;5;5;5;4;4;2;0.17 - 0.25
2;2;4;4;3;4;2;4;2;1;0.40 - 0.48
3;3;3;3;4;3;3;5;5;5;0.25 - 0.32
2;1;2;2;2;5;5;4;4;4;0.25 - 0.32
2;2;2;4;4;5;2;5;4;4;0.17 - 0.25
1;3;3;4;3;5;2;2;4;4;0.32 - 0.40
3;3;4;4;2;5;5;4;2;2;0.32 - 0.40
1;1;1;1;1;5;1;1;4;5;0.25 - 0.32
2;4;4;4;1;5;4;5;4;4;0.32 - 0.40
1;3;4;4;3;5;5;5;4;3;0.32 - 0.40
3;1;3;3;3;4;1;4;4;4;0 - 0.10
1;1;1;1;1;5;2;2;4;3;0.17 - 0.25
4;4;5;5;4;3;3;3;3;3;0.40 - 0.48
1;3;3;1;1;5;3;3;5;5;0.32 - 0.40
5;5;5;5;3;3;3;3;5;3;0.32 - 0.40
4;5;5;3;3;4;3;3;3;3;0.32 - 0.40
2;3;4;4;2;4;4;3;2;4;0.32 - 0.40
1;2;3;3;1;5;3;2;3;3;0.25 - 0.32
3;3;3;4;3;4;;2;2;2;0.32 - 0.40